workstation,analysis_id,analysis_date,synchronization_date,sample_code,classified_seeds,variety,percent,result_id
Manangatang,236,2025-02-26T12:22:57Z,2025-02-26T01:24:11Z,GTAMix5,301,La Trobe,77,1
Manangatang,236,2025-02-26T12:22:57Z,2025-02-26T01:24:11Z,GTAMix5,301,Planet,23,2
Manangatang,237,2025-02-26T12:30:01Z,2025-02-26T01:31:16Z,GTAMix6,264,Maximus CL,70,1
Manangatang,237,2025-02-26T12:30:01Z,2025-02-26T01:31:16Z,GTAMix6,264,Planet,30,2
Manangatang,238,2025-02-26T13:27:44Z,2025-02-26T02:28:42Z,GTAMix7,247,Spartacus CL,66,1
Manangatang,238,2025-02-26T13:27:44Z,2025-02-26T02:28:42Z,GTAMix7,247,Planet,34,2
Manangatang,240,2025-02-26T13:50:24Z,2025-02-26T02:51:25Z,GTAMix8,276,Planet,74,1
Manangatang,240,2025-02-26T13:50:24Z,2025-02-26T02:51:25Z,GTAMix8,276,Maximus CL,26,2
Manangatang,239,2025-02-26T13:41:06Z,2025-02-26T02:42:03Z,GTAMix9,312,Bass,61,1
Manangatang,239,2025-02-26T13:41:06Z,2025-02-26T02:42:03Z,GTAMix9,312,La Trobe,38,2
Manangatang,244,2025-02-26T14:26:12Z,2025-02-26T03:27:14Z,GTAPure1,283,Bass,99,1
Manangatang,244,2025-02-26T14:26:12Z,2025-02-26T03:27:14Z,GTAPure1,283,Spartacus CL,1,2
Manangatang,252,2025-02-26T15:36:30Z,2025-02-26T04:37:41Z,GTAPure10,264,Maximus CL,100,1
Manangatang,253,2025-02-26T15:42:13Z,2025-02-26T04:43:24Z,GTAPure11,239,Commodus CL,99,1
Manangatang,253,2025-02-26T15:42:13Z,2025-02-26T04:43:24Z,GTAPure11,239,Bass,1,2
Manangatang,254,2025-02-26T15:55:59Z,2025-02-26T05:01:45Z,GTAPure12,221,Spartacus CL,100,1
Manangatang,245,2025-02-26T14:35:11Z,2025-02-26T03:36:05Z,GTAPure2,343,La Trobe,100,1
Manangatang,246,2025-02-26T14:50:26Z,2025-02-26T03:51:18Z,GTAPure3,217,Maximus CL,99,1
Manangatang,246,2025-02-26T14:50:26Z,2025-02-26T03:51:18Z,GTAPure3,217,La Trobe,1,2
Manangatang,247,2025-02-26T14:55:38Z,2025-02-26T03:56:34Z,GTAPure4,249,Commodus CL,100,1
Manangatang,248,2025-02-26T14:58:52Z,2025-02-26T03:59:42Z,GTAPure5,266,Spartacus CL,100,1
Manangatang,251,2025-02-26T15:30:32Z,2025-02-26T04:33:29Z,GTAPure6,307,Westminster,64,1
Manangatang,251,2025-02-26T15:30:32Z,2025-02-26T04:33:29Z,GTAPure6,307,Planet,35,2
Manangatang,249,2025-02-26T15:13:47Z,2025-02-26T04:14:59Z,GTAPure7,293,Planet,100,1
Manangatang,250,2025-02-26T15:21:38Z,2025-02-26T04:24:41Z,GTAPure8,290,Bass,100,1
Manangatang,255,2025-02-26T16:08:32Z,2025-02-26T05:11:38Z,GTAPure9,337,La Trobe,99,1
Manangatang,255,2025-02-26T16:08:32Z,2025-02-26T05:11:38Z,GTAPure9,337,Maximus CL,1,2
Murtoa South,1082,2025-02-26T11:32:57Z,2025-02-26T05:16:07Z,GTAMix1,302,Bass,87,1
Murtoa South,1082,2025-02-26T11:32:57Z,2025-02-26T05:16:07Z,GTAMix1,302,Maximus CL,12,2
Murtoa South,1091,2025-02-26T14:02:08Z,2025-02-26T05:16:05Z,GTAMix10,285,Maximus CL,60,1
Murtoa South,1091,2025-02-26T14:02:08Z,2025-02-26T05:16:05Z,GTAMix10,285,Bass,40,2
Murtoa South,1092,2025-02-26T14:11:33Z,2025-02-26T05:16:05Z,GTAMix11,314,Maximus CL,54,1
Murtoa South,1092,2025-02-26T14:11:33Z,2025-02-26T05:16:05Z,GTAMix11,314,La Trobe,46,2
Murtoa South,1093,2025-02-26T14:18:16Z,2025-02-26T05:16:05Z,GTAMix12,298,Planet,51,1
Murtoa South,1093,2025-02-26T14:18:16Z,2025-02-26T05:16:05Z,GTAMix12,298,Spartacus CL,49,2
Murtoa South,1083,2025-02-26T11:38:26Z,2025-02-26T05:16:07Z,GTAMix2,327,Planet,86,1
Murtoa South,1083,2025-02-26T11:38:26Z,2025-02-26T05:16:07Z,GTAMix2,327,Bass,14,2
Murtoa South,1084,2025-02-26T11:56:47Z,2025-02-26T05:16:06Z,GTAMix3,246,Spartacus CL,79,1
Murtoa South,1084,2025-02-26T11:56:47Z,2025-02-26T05:16:06Z,GTAMix3,246,Bass,21,2
Murtoa South,1085,2025-02-26T12:03:37Z,2025-02-26T05:16:06Z,GTAMix4,314,La Trobe,86,1
Murtoa South,1085,2025-02-26T12:03:37Z,2025-02-26T05:16:06Z,GTAMix4,314,Maximus CL,14,2
Murtoa South,1086,2025-02-26T12:27:42Z,2025-02-26T05:16:06Z,GTAMix5,310,La Trobe,77,1
Murtoa South,1086,2025-02-26T12:27:42Z,2025-02-26T05:16:06Z,GTAMix5,310,Planet,23,2
Murtoa South,1087,2025-02-26T12:32:08Z,2025-02-26T05:16:06Z,GTAMix6,267,Maximus CL,70,1
Murtoa South,1087,2025-02-26T12:32:08Z,2025-02-26T05:16:06Z,GTAMix6,267,Planet,29,2
Murtoa South,1088,2025-02-26T13:30:40Z,2025-02-26T05:16:06Z,GTAMix7,231,Spartacus CL,65,1
Murtoa South,1088,2025-02-26T13:30:40Z,2025-02-26T05:16:06Z,GTAMix7,231,Planet,34,2
Murtoa South,1090,2025-02-26T13:54:09Z,2025-02-26T05:16:05Z,GTAMix8,292,Planet,76,1
Murtoa South,1090,2025-02-26T13:54:09Z,2025-02-26T05:16:05Z,GTAMix8,292,Maximus CL,24,2
Murtoa South,1089,2025-02-26T13:43:45Z,2025-02-26T05:16:05Z,GTAMix9,308,Bass,58,1
Murtoa South,1089,2025-02-26T13:43:45Z,2025-02-26T05:16:05Z,GTAMix9,308,La Trobe,37,2
Murtoa South,1094,2025-02-26T14:23:04Z,2025-02-26T05:16:05Z,GTAPure1,286,Bass,99,1
Murtoa South,1094,2025-02-26T14:23:04Z,2025-02-26T05:16:05Z,GTAPure1,286,Spartacus CL,1,2
Murtoa South,1103,2025-02-26T15:38:25Z,2025-02-26T05:16:02Z,GTAPure10,262,Maximus CL,100,1
Murtoa South,1102,2025-02-26T15:35:17Z,2025-02-26T05:16:03Z,GTAPure11,271,Commodus CL,99,1
Murtoa South,1102,2025-02-26T15:35:17Z,2025-02-26T05:16:03Z,GTAPure11,271,Planet,1,2
Murtoa South,1104,2025-02-26T15:52:57Z,2025-02-26T05:16:01Z,GTAPure12,226,Spartacus CL,100,1
Murtoa South,1095,2025-02-26T14:32:07Z,2025-02-26T05:16:04Z,GTAPure2,328,La Trobe,98,1
Murtoa South,1095,2025-02-26T14:32:07Z,2025-02-26T05:16:04Z,GTAPure2,328,Spartacus CL,2,2
Murtoa South,1096,2025-02-26T14:47:45Z,2025-02-26T05:16:04Z,GTAPure3,223,Maximus CL,100,1
Murtoa South,1097,2025-02-26T14:51:49Z,2025-02-26T05:16:04Z,GTAPure4,204,Commodus CL,100,1
Murtoa South,1098,2025-02-26T14:56:42Z,2025-02-26T05:16:04Z,GTAPure5,290,Spartacus CL,100,1
Murtoa South,1099,2025-02-26T15:11:56Z,2025-02-26T05:16:04Z,GTAPure6,326,Westminster,78,1
Murtoa South,1099,2025-02-26T15:11:56Z,2025-02-26T05:16:04Z,GTAPure6,326,Planet,21,2
Murtoa South,1100,2025-02-26T15:16:28Z,2025-02-26T05:16:04Z,GTAPure7,284,Planet,100,1
Murtoa South,1101,2025-02-26T15:19:08Z,2025-02-26T05:16:03Z,GTAPure8,321,Bass,100,1
Murtoa South,1105,2025-02-26T16:02:43Z,2025-02-26T05:16:01Z,GTAPure9,328,La Trobe,98,1
Murtoa South,1105,2025-02-26T16:02:43Z,2025-02-26T05:16:01Z,GTAPure9,328,Spartacus CL,2,2
Piangil,303,2025-02-25T21:25:54Z,2025-02-26T00:27:12Z,GTAMix1,316,Bass,87,1
Piangil,303,2025-02-25T21:25:54Z,2025-02-26T00:27:12Z,GTAMix1,316,Maximus CL,13,2
Piangil,313,2025-02-25T23:56:21Z,2025-02-26T02:57:25Z,GTAMix10,269,Maximus CL,64,1
Piangil,313,2025-02-25T23:56:21Z,2025-02-26T02:57:25Z,GTAMix10,269,Bass,36,2
